epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4249.29,0.48624,0.30357,0.87928,0.93222,0.9509,0.9637,0.72705,0.83197,0.41211,0.91062,0.0001585,0.0001585,0.0001585
87,4298.64,0.49037,0.30565,0.87857,0.9498,0.94542,0.96486,0.72522,0.83658,0.40831,0.91378,0.0001486,0.0001486,0.0001486
88,4347.82,0.4798,0.30204,0.87683,0.94,0.95268,0.96492,0.72835,0.83714,0.40949,0.91448,0.0001387,0.0001387,0.0001387
89,4397.35,0.48303,0.30042,0.87697,0.936,0.9491,0.96418,0.7246,0.83295,0.41319,0.9171,0.0001288,0.0001288,0.0001288
90,4447.27,0.47795,0.298,0.87542,0.94383,0.94395,0.96345,0.72661,0.82819,0.41581,0.91323,0.0001189,0.0001189,0.0001189
91,4495.85,0.45605,0.25239,0.84208,0.95029,0.93352,0.96046,0.72522,0.83395,0.41736,0.91228,0.000109,0.000109,0.000109
92,4543.15,0.4509,0.24525,0.8399,0.9483,0.93496,0.96078,0.72815,0.83072,0.41545,0.91232,9.91e-05,9.91e-05,9.91e-05
93,4589.91,0.4473,0.24527,0.83659,0.92216,0.94796,0.96423,0.73182,0.82502,0.417,0.90947,8.92e-05,8.92e-05,8.92e-05
94,4636.36,0.44258,0.24361,0.8409,0.93425,0.94103,0.96164,0.73228,0.82344,0.42021,0.91009,7.93e-05,7.93e-05,7.93e-05
95,4683.34,0.4424,0.23826,0.84007,0.94127,0.93858,0.96352,0.73458,0.82216,0.41336,0.91134,6.94e-05,6.94e-05,6.94e-05
96,4730.35,0.43483,0.23644,0.83519,0.93563,0.94224,0.96353,0.73233,0.8275,0.4122,0.9138,5.95e-05,5.95e-05,5.95e-05
97,4777.53,0.43161,0.23495,0.83445,0.94134,0.9422,0.96073,0.73301,0.82781,0.40889,0.91225,4.96e-05,4.96e-05,4.96e-05
98,4824.69,0.43112,0.23471,0.83679,0.94279,0.94326,0.96561,0.7307,0.8292,0.40967,0.91243,3.97e-05,3.97e-05,3.97e-05
99,4871.25,0.42923,0.23271,0.83343,0.944,0.93562,0.96183,0.73166,0.82953,0.40888,0.91244,2.98e-05,2.98e-05,2.98e-05
100,4917.41,0.42779,0.23015,0.83561,0.94685,0.93479,0.96394,0.73062,0.83061,0.40734,0.91323,1.99e-05,1.99e-05,1.99e-05
