epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1175.24,0.5836,0.33551,0.8999,0.91883,0.93089,0.94984,0.70779,0.97162,0.51726,0.95556,0.000278121,0.000278121,0.000278121
106,1186.76,0.58072,0.33277,0.90202,0.93016,0.93175,0.95531,0.71095,0.97303,0.5111,0.95179,0.000267558,0.000267558,0.000267558
107,1197.98,0.5822,0.34012,0.90077,0.92878,0.93634,0.95502,0.71113,0.96935,0.48911,0.95006,0.000257154,0.000257154,0.000257154
108,1209.46,0.58138,0.33268,0.89722,0.92274,0.93801,0.95661,0.71109,0.97168,0.49692,0.95017,0.000246915,0.000246915,0.000246915
109,1220.92,0.573,0.32758,0.89454,0.93407,0.9084,0.94833,0.71537,0.94542,0.52428,0.9439,0.000236844,0.000236844,0.000236844
110,1232.01,0.56321,0.32467,0.89515,0.92989,0.93692,0.95244,0.71683,0.9484,0.49423,0.94461,0.000226946,0.000226946,0.000226946
111,1242.39,0.57643,0.32653,0.89647,0.94521,0.91381,0.95378,0.71151,0.97224,0.49111,0.94252,0.000217225,0.000217225,0.000217225
112,1252.93,0.56973,0.32462,0.89104,0.93574,0.94067,0.95542,0.71614,0.95745,0.47998,0.95084,0.000207686,0.000207686,0.000207686
113,1265.58,0.56235,0.31837,0.89105,0.93057,0.93741,0.9526,0.69991,1.00431,0.48803,0.96378,0.000198333,0.000198333,0.000198333
114,1275.34,0.56445,0.32185,0.89199,0.92303,0.94667,0.95829,0.7053,0.98916,0.48635,0.94989,0.00018917,0.00018917,0.00018917
115,1285.96,0.56425,0.3187,0.88916,0.93992,0.93901,0.95758,0.71342,0.9583,0.48346,0.94918,0.000180201,0.000180201,0.000180201
116,1297.06,0.5767,0.32592,0.89684,0.94623,0.93623,0.9585,0.71863,0.95488,0.46681,0.94637,0.000171429,0.000171429,0.000171429
117,1307.87,0.56308,0.31773,0.8919,0.93766,0.92195,0.95535,0.71236,0.97026,0.48031,0.94076,0.000162859,0.000162859,0.000162859
118,1319.52,0.56173,0.31316,0.89068,0.94108,0.93718,0.95687,0.71685,0.94965,0.47896,0.94145,0.000154495,0.000154495,0.000154495
119,1330.64,0.55887,0.31656,0.89002,0.93777,0.93413,0.95123,0.70949,0.96774,0.49142,0.94497,0.00014634,0.00014634,0.00014634
120,1342.21,0.56154,0.31745,0.88989,0.93173,0.93531,0.95198,0.71591,0.94321,0.48915,0.9372,0.000138397,0.000138397,0.000138397
121,1353.57,0.5518,0.31606,0.88511,0.95143,0.91477,0.95192,0.71808,0.95378,0.48366,0.94551,0.000130671,0.000130671,0.000130671
122,1364.57,0.54814,0.31353,0.89015,0.93729,0.93549,0.95437,0.71375,0.96608,0.48243,0.94396,0.000123164,0.000123164,0.000123164
123,1377.3,0.54979,0.31153,0.89065,0.94015,0.9238,0.95181,0.71245,0.96124,0.48287,0.94176,0.00011588,0.00011588,0.00011588
124,1386.33,0.54685,0.31233,0.88877,0.93961,0.93631,0.95364,0.71736,0.95191,0.48523,0.94567,0.000108822,0.000108822,0.000108822
125,1397.37,0.54146,0.3089,0.88935,0.94494,0.92599,0.95389,0.71624,0.95161,0.48646,0.94506,0.000101993,0.000101993,0.000101993
126,1407.7,0.54478,0.31428,0.88601,0.93828,0.93482,0.95415,0.716,0.95823,0.48236,0.94518,9.53968e-05,9.53968e-05,9.53968e-05
127,1420.35,0.55187,0.31241,0.89044,0.93415,0.9388,0.95261,0.72003,0.94644,0.48808,0.9447,8.90352e-05,8.90352e-05,8.90352e-05
128,1432.35,0.5364,0.30545,0.88212,0.93947,0.94043,0.95526,0.72006,0.95056,0.49338,0.94143,8.29115e-05,8.29115e-05,8.29115e-05
129,1441.81,0.54211,0.31391,0.88763,0.94733,0.93465,0.95711,0.72223,0.94223,0.48049,0.93868,7.70283e-05,7.70283e-05,7.70283e-05
130,1454.22,0.54156,0.30476,0.88398,0.94665,0.93128,0.95662,0.72309,0.93968,0.4858,0.93616,7.13883e-05,7.13883e-05,7.13883e-05
131,1463.98,0.542,0.30722,0.88365,0.94708,0.9252,0.94998,0.71732,0.94834,0.49278,0.93814,6.59937e-05,6.59937e-05,6.59937e-05
132,1475.43,0.54808,0.31105,0.88722,0.94325,0.9313,0.95404,0.71682,0.95717,0.48817,0.93928,6.08472e-05,6.08472e-05,6.08472e-05
133,1487.8,0.53916,0.30463,0.88424,0.94557,0.9341,0.95685,0.71799,0.95899,0.47769,0.93883,5.59508e-05,5.59508e-05,5.59508e-05
134,1497.53,0.5329,0.30122,0.88506,0.95092,0.92845,0.95783,0.72019,0.94771,0.47698,0.93777,5.13068e-05,5.13068e-05,5.13068e-05
135,1509.68,0.5455,0.30567,0.88676,0.94216,0.93435,0.95543,0.71752,0.95455,0.47675,0.94007,4.69171e-05,4.69171e-05,4.69171e-05
136,1527.03,0.52631,0.27394,0.85871,0.93999,0.92834,0.95139,0.71822,0.94497,0.48549,0.93465,4.27838e-05,4.27838e-05,4.27838e-05
137,1536.36,0.50044,0.25188,0.85087,0.949,0.92594,0.95535,0.72326,0.94014,0.47721,0.93512,3.89086e-05,3.89086e-05,3.89086e-05
138,1545.22,0.51094,0.25684,0.84824,0.95566,0.91871,0.95611,0.72375,0.93802,0.47737,0.93429,3.52932e-05,3.52932e-05,3.52932e-05
139,1553.93,0.49337,0.24957,0.84591,0.95617,0.91898,0.95649,0.72679,0.9331,0.47302,0.93426,3.19392e-05,3.19392e-05,3.19392e-05
140,1562.97,0.50129,0.25014,0.85248,0.96056,0.92226,0.9572,0.72569,0.9358,0.47428,0.93508,2.88481e-05,2.88481e-05,2.88481e-05
141,1572.65,0.49843,0.24721,0.85179,0.95624,0.92156,0.95717,0.72822,0.93264,0.47369,0.93416,2.60212e-05,2.60212e-05,2.60212e-05
142,1581.94,0.49269,0.24598,0.84802,0.96003,0.92082,0.95888,0.7258,0.93861,0.4767,0.9349,2.34598e-05,2.34598e-05,2.34598e-05
143,1590.72,0.49429,0.24443,0.84401,0.95869,0.92513,0.95803,0.72489,0.93964,0.47519,0.93479,2.1165e-05,2.1165e-05,2.1165e-05
144,1599.28,0.4984,0.24648,0.85448,0.95558,0.926,0.95612,0.72444,0.94055,0.47751,0.93529,1.91377e-05,1.91377e-05,1.91377e-05
145,1609.14,0.48694,0.24302,0.84524,0.95367,0.92914,0.9579,0.72498,0.93863,0.47414,0.93428,1.7379e-05,1.7379e-05,1.7379e-05
146,1618.29,0.49666,0.24657,0.8496,0.9572,0.92519,0.95652,0.72322,0.94251,0.47593,0.93595,1.58896e-05,1.58896e-05,1.58896e-05
147,1627.74,0.48543,0.24149,0.84505,0.95411,0.92405,0.95574,0.72642,0.93159,0.47757,0.93352,1.467e-05,1.467e-05,1.467e-05
148,1636.73,0.48377,0.23984,0.84937,0.95803,0.92438,0.9559,0.72305,0.93973,0.47849,0.93475,1.3721e-05,1.3721e-05,1.3721e-05
149,1646.84,0.48497,0.24122,0.84263,0.95698,0.92642,0.95575,0.72029,0.94457,0.4784,0.93595,1.30427e-05,1.30427e-05,1.30427e-05
150,1655.38,0.48246,0.24139,0.84303,0.95566,0.92496,0.95613,0.72156,0.94218,0.47882,0.93594,1.26357e-05,1.26357e-05,1.26357e-05
